,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,32,0.2,16,0.0005,0.03753642,12
2,64,0.1,32,0.0005,0.0396743,12
3,128,0.2,32,0.0005,0.04041573,11
4,64,0.2,16,0.0005,0.04193433,11
5,128,0.1,32,0.0001,0.04264474,14
6,32,0.2,32,0.0005,0.04300414,12
7,64,0.3,16,0.001,0.04309907,11
8,32,0.3,32,0.0005,0.04333437,13
9,128,0.3,16,0.0005,0.04390993,11
10,64,0.3,32,0.0001,0.04435874,21
11,64,0.3,32,0.0005,0.04461874,12
12,64,0.2,32,0.001,0.04465009,11
13,64,0.1,16,0.0005,0.04553426,11
14,32,0.1,32,0.001,0.0455352,12
15,128,0.1,32,0.001,0.0460522,12
16,128,0.3,16,0.0001,0.04606596,13
17,32,0.2,32,0.001,0.04618484,12
18,64,0.1,32,0.001,0.04633226,13
19,32,0.1,16,0.0001,0.04636925,16
20,32,0.3,32,0.001,0.04648854,12
21,64,0.1,16,0.001,0.04659519,12
22,128,0.2,16,0.0001,0.04662431,13
23,128,0.3,32,0.0001,0.04671773,14
24,64,0.3,32,0.001,0.04698923,11
25,32,0.3,32,0.0001,0.04724151,22
26,64,0.2,32,0.0005,0.04742951,12
27,128,0.1,16,0.0001,0.04771759,12
28,32,0.3,16,0.0005,0.04802881,11
29,128,0.3,32,0.001,0.04821597,12
30,32,0.1,16,0.0005,0.04881287,12
31,64,0.3,16,0.0005,0.04977843,11
32,128,0.1,32,0.0005,0.05011019,14
33,128,0.2,32,0.0001,0.05018794,14
34,64,0.1,16,0.0001,0.05039841,15
35,32,0.3,16,0.001,0.05063074,11
36,64,0.2,32,0.0001,0.05088302,17
37,128,0.3,32,0.0005,0.0512843,11
38,32,0.1,16,0.001,0.05147754,11
39,64,0.3,16,0.0001,0.05241484,15
40,64,0.1,32,0.0001,0.05274723,17
41,128,0.2,16,0.0005,0.05292631,11
42,32,0.2,16,0.001,0.05347627,11
43,64,0.2,16,0.001,0.05375593,12
44,128,0.1,16,0.0005,0.05546576,12
45,128,0.2,32,0.001,0.05564712,11
46,32,0.2,16,0.0001,0.05802161,22
47,32,0.1,32,0.0001,0.05804164,34
48,128,0.1,16,0.001,0.05858996,14
49,128,0.2,16,0.001,0.05883882,16
50,32,0.2,32,0.0001,0.05943055,30
51,128,0.3,16,0.001,0.06009763,18
52,32,0.3,16,0.0001,0.06404777,18
53,64,0.2,16,0.0001,0.06451332,16
54,32,0.1,32,0.0005,0.06478896,12
