,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,32,0.1,16,0.001,0.01519847,11
2,64,0.1,32,0.0005,0.01659047,12
3,64,0.1,16,0.001,0.01755492,11
4,64,0.2,16,0.001,0.01780259,11
5,32,0.3,16,0.001,0.01797756,11
6,32,0.3,32,0.001,0.01850972,14
7,64,0.2,32,0.0005,0.01870899,13
8,64,0.1,16,0.0005,0.01892415,11
9,128,0.3,32,0.001,0.02040153,11
10,32,0.2,32,0.001,0.02140968,13
11,128,0.1,32,0.0005,0.02198405,12
12,128,0.2,32,0.0005,0.02358607,12
13,64,0.3,32,0.0005,0.02384002,13
14,128,0.2,32,0.001,0.02437867,13
15,128,0.3,32,0.0005,0.02537565,12
16,32,0.1,32,0.0005,0.02546306,13
17,32,0.3,32,0.0005,0.02671914,14
18,128,0.1,32,0.001,0.02680019,13
19,128,0.3,32,0.0001,0.02786727,17
20,32,0.2,32,0.0005,0.02815877,14
21,128,0.1,32,0.0001,0.02824997,16
22,64,0.2,32,0.001,0.02885889,12
23,128,0.1,16,0.0005,0.02927208,11
24,64,0.2,16,0.0001,0.03217796,17
25,64,0.3,16,0.001,0.03234167,11
26,64,0.3,32,0.001,0.03283586,12
27,64,0.1,16,0.0001,0.03286581,15
28,128,0.3,16,0.0001,0.03339074,14
29,128,0.2,32,0.0001,0.03344521,18
30,128,0.2,16,0.0001,0.03455145,14
31,128,0.1,16,0.0001,0.03613408,14
32,64,0.1,32,0.001,0.03619433,14
33,64,0.1,32,0.0001,0.03710647,21
34,32,0.1,32,0.001,0.0376123,13
35,128,0.1,16,0.001,0.03820455,12
36,64,0.2,32,0.0001,0.03824584,21
37,128,0.3,16,0.0005,0.03827319,11
38,32,0.1,16,0.0005,0.03904397,12
39,128,0.2,16,0.0005,0.03913259,13
40,64,0.3,16,0.0005,0.03955857,12
41,128,0.2,16,0.001,0.04184349,12
42,64,0.3,16,0.0001,0.04271529,22
43,32,0.2,16,0.0005,0.04393513,12
44,64,0.3,32,0.0001,0.04395402,23
45,32,0.3,16,0.0005,0.04559844,13
46,64,0.2,16,0.0005,0.04563797,13
47,32,0.1,16,0.0001,0.04703289,21
48,32,0.3,32,0.0001,0.05097452,35
49,32,0.2,32,0.0001,0.05239365,29
50,32,0.1,32,0.0001,0.05372835,30
51,128,0.3,16,0.001,0.05657984,13
52,32,0.2,16,0.0001,0.05772698,23
53,32,0.2,16,0.001,0.058577,12
54,32,0.3,16,0.0001,0.06527369,20
