,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,64,0.1,32,0.001,0.02874585,11
2,32,0.2,32,0.001,0.02971279,12
3,128,0.1,32,0.001,0.03319244,11
4,64,0.2,32,0.0005,0.0350293,12
5,64,0.2,32,0.001,0.03591625,11
6,128,0.3,32,0.0005,0.03767967,12
7,64,0.3,32,0.0005,0.03843729,12
8,64,0.3,32,0.001,0.03843816,11
9,64,0.3,16,0.0005,0.03938562,12
10,32,0.3,32,0.001,0.03948253,12
11,64,0.1,16,0.0005,0.03991253,11
12,128,0.3,16,0.0005,0.04103854,11
13,64,0.1,32,0.0005,0.04126263,12
14,128,0.1,32,0.0001,0.04187932,15
15,64,0.2,16,0.0005,0.0423716,11
16,32,0.3,32,0.0005,0.04358767,13
17,32,0.1,32,0.001,0.04451308,12
18,32,0.2,16,0.0005,0.0451747,11
19,32,0.3,16,0.001,0.04572246,11
20,32,0.3,16,0.0001,0.04701687,22
21,128,0.1,16,0.0005,0.04829263,11
22,128,0.3,32,0.0001,0.04861231,17
23,128,0.1,16,0.0001,0.04953559,12
24,128,0.3,16,0.0001,0.05022667,14
25,128,0.2,32,0.0001,0.05101813,17
26,32,0.1,32,0.0005,0.05194295,13
27,64,0.3,32,0.0001,0.05218808,19
28,64,0.3,16,0.0001,0.05297889,16
29,32,0.1,16,0.001,0.05303366,11
30,128,0.2,16,0.0001,0.05343087,13
31,64,0.1,32,0.0001,0.05387006,17
32,128,0.2,16,0.0005,0.05395507,12
33,128,0.1,32,0.0005,0.05503665,12
34,128,0.3,32,0.001,0.05527947,12
35,32,0.2,16,0.001,0.05577758,11
36,32,0.2,32,0.0005,0.05664855,14
37,128,0.2,32,0.0005,0.05728541,11
38,64,0.2,32,0.0001,0.05955145,16
39,128,0.2,32,0.001,0.05977222,12
40,64,0.2,16,0.0001,0.06011977,16
41,32,0.1,16,0.0001,0.0611083,23
42,32,0.2,32,0.0001,0.06199193,28
43,64,0.2,16,0.001,0.06394152,12
44,64,0.1,16,0.0001,0.06599705,14
45,32,0.3,32,0.0001,0.06806122,31
46,32,0.1,32,0.0001,0.06975333,22
47,32,0.1,16,0.0005,0.07059011,12
48,32,0.3,16,0.0005,0.07418042,11
49,64,0.1,16,0.001,0.07477346,12
50,128,0.1,16,0.001,0.07889566,12
51,64,0.3,16,0.001,0.08320454,12
52,128,0.2,16,0.001,0.08431117,14
53,128,0.3,16,0.001,0.08521033,13
54,32,0.2,16,0.0001,0.0982891,25
