,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,128,0.1,32,0.001,5.562e-05,38
2,64,0.1,16,0.001,8.008e-05,38
3,32,0.3,32,0.001,9.214e-05,51
4,128,0.3,16,0.0005,9.876e-05,26
5,64,0.2,16,0.001,0.00010921,37
6,32,0.3,32,0.0001,0.0001129,18
7,64,0.3,32,0.001,0.00012722,22
8,128,0.2,16,0.0005,0.000149,43
9,32,0.2,32,0.001,0.00017848,17
10,64,0.3,32,0.0005,0.000189,20
11,64,0.2,32,0.0005,0.00019344,23
12,64,0.1,32,0.001,0.00019425,44
13,32,0.3,16,0.001,0.00020909,30
14,128,0.2,16,0.001,0.00021513,17
15,32,0.3,16,0.0005,0.00021979,17
16,128,0.3,32,0.0001,0.00023329,31
17,128,0.3,32,0.0005,0.00024132,26
18,64,0.3,32,0.0001,0.00026237,12
19,32,0.3,32,0.0005,0.00027009,11
20,128,0.1,16,0.0005,0.000273,37
21,64,0.1,32,0.0001,0.00028136,11
22,64,0.2,16,0.0005,0.00030977,16
23,64,0.2,16,0.0001,0.00032538,29
24,64,0.1,16,0.0005,0.00036553,21
25,32,0.1,16,0.0001,0.00040109,56
26,32,0.2,16,0.001,0.00040978,32
27,128,0.1,16,0.001,0.00045262,15
28,128,0.3,16,0.0001,0.00046073,27
29,32,0.1,16,0.001,0.00046119,14
30,32,0.1,32,0.001,0.00046555,16
31,32,0.1,16,0.0005,0.00046883,18
32,32,0.3,16,0.0001,0.0004719,37
33,64,0.3,16,0.001,0.00049818,20
34,64,0.3,16,0.0001,0.00051574,25
35,32,0.2,16,0.0005,0.00062957,32
36,128,0.2,32,0.001,0.00064357,18
37,64,0.2,32,0.001,0.00072558,23
38,128,0.3,32,0.001,0.00075636,14
39,64,0.3,16,0.0005,0.00080968,22
40,64,0.2,32,0.0001,0.0008594,11
41,128,0.3,16,0.001,0.00086918,13
42,128,0.2,32,0.0005,0.00086936,14
43,64,0.1,32,0.0005,0.00088097,15
44,128,0.2,32,0.0001,0.00098633,28
45,128,0.2,16,0.0001,0.00100877,25
46,32,0.2,32,0.0001,0.00106377,11
47,32,0.2,16,0.0001,0.00106406,11
48,128,0.1,32,0.0005,0.00107952,13
49,128,0.1,16,0.0001,0.001248,23
50,32,0.1,32,0.0001,0.00125005,11
51,32,0.2,32,0.0005,0.00135504,22
52,32,0.1,32,0.0005,0.00147399,12
53,64,0.1,16,0.0001,0.00187124,11
54,128,0.1,32,0.0001,0.00243469,11
