,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,64,0.1,32,0.001,1.592e-05,32
2,128,0.2,16,0.0005,1.658e-05,46
3,64,0.3,16,0.001,1.668e-05,46
4,128,0.3,16,0.001,1.685e-05,22
5,32,0.3,32,0.001,1.723e-05,40
6,64,0.1,16,0.001,1.777e-05,25
7,32,0.2,32,0.001,1.781e-05,40
8,128,0.2,16,0.001,1.801e-05,36
9,128,0.3,32,0.001,1.934e-05,17
10,32,0.1,16,0.001,2.181e-05,33
11,128,0.1,16,0.001,2.583e-05,23
12,32,0.1,32,0.0005,2.602e-05,40
13,128,0.3,16,0.0005,3.623e-05,32
14,64,0.3,16,0.0005,4.014e-05,27
15,64,0.2,16,0.001,4.37e-05,30
16,64,0.2,16,0.0005,4.613e-05,37
17,32,0.1,32,0.001,4.631e-05,25
18,32,0.3,16,0.0005,4.737e-05,45
19,64,0.1,32,0.0005,4.776e-05,27
20,128,0.1,32,0.0005,4.981e-05,35
21,32,0.2,32,0.0001,5.381e-05,16
22,64,0.1,16,0.0005,5.831e-05,45
23,32,0.2,16,0.0001,5.909e-05,12
24,32,0.1,16,0.0001,5.996e-05,13
25,128,0.3,32,0.0005,6.077e-05,36
26,128,0.1,32,0.001,6.25e-05,16
27,32,0.1,32,0.0001,6.682e-05,16
28,128,0.2,32,0.001,6.816e-05,16
29,64,0.1,32,0.0001,6.822e-05,15
30,128,0.2,32,0.0001,7.099e-05,12
31,64,0.3,32,0.0001,7.325e-05,14
32,128,0.2,32,0.0005,7.623e-05,29
33,32,0.3,32,0.0001,7.757e-05,16
34,64,0.2,32,0.001,8.913e-05,14
35,32,0.3,16,0.0001,9.091e-05,12
36,64,0.2,32,0.0001,9.206e-05,13
37,64,0.3,32,0.001,0.00010014,28
38,128,0.3,32,0.0001,0.00010122,13
39,64,0.3,16,0.0001,0.00010181,12
40,32,0.2,16,0.001,0.00011326,20
41,64,0.3,32,0.0005,0.00011659,11
42,128,0.1,16,0.0001,0.00012354,12
43,128,0.2,16,0.0001,0.00012857,11
44,128,0.1,16,0.0005,0.00013259,33
45,64,0.2,32,0.0005,0.00013805,11
46,128,0.1,32,0.0001,0.00013974,13
47,128,0.3,16,0.0001,0.00014083,11
48,32,0.2,32,0.0005,0.00015044,11
49,32,0.2,16,0.0005,0.00016272,23
50,64,0.1,16,0.0001,0.00016476,11
51,32,0.1,16,0.0005,0.00018718,22
52,64,0.2,16,0.0001,0.00020554,12
53,32,0.3,32,0.0005,0.00023659,11
54,32,0.3,16,0.001,0.00024565,14
