,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,64,0.2,16,0.001,3.177e-05,36
2,64,0.1,16,0.001,3.526e-05,53
3,128,0.1,16,0.001,5.208e-05,58
4,64,0.3,32,0.0005,5.863e-05,17
5,128,0.1,32,0.001,6.42e-05,34
6,32,0.2,16,0.001,6.86e-05,22
7,128,0.1,16,0.0005,7.088e-05,28
8,128,0.3,16,0.0005,7.674e-05,28
9,128,0.2,16,0.001,7.976e-05,16
10,128,0.3,32,0.0001,8.161e-05,11
11,128,0.2,16,0.0005,9.114e-05,59
12,64,0.1,16,0.0005,9.311e-05,23
13,32,0.1,32,0.0001,9.846e-05,13
14,128,0.2,32,0.0005,0.00010325,33
15,64,0.2,16,0.0001,0.00011015,11
16,32,0.1,16,0.001,0.00011155,15
17,64,0.2,32,0.001,0.00012378,39
18,32,0.3,32,0.001,0.00012653,23
19,32,0.3,16,0.001,0.00012823,28
20,64,0.3,16,0.001,0.00012895,22
21,32,0.1,16,0.0005,0.00015244,23
22,32,0.2,32,0.0005,0.00015254,23
23,32,0.2,16,0.0001,0.00015924,11
24,32,0.3,32,0.0001,0.00016179,11
25,128,0.3,32,0.001,0.00017192,44
26,32,0.2,32,0.001,0.00017779,37
27,128,0.2,32,0.001,0.0001991,21
28,64,0.3,32,0.0001,0.00019979,47
29,128,0.3,16,0.0001,0.00021181,11
30,32,0.3,32,0.0005,0.00022336,11
31,128,0.3,16,0.001,0.00022445,11
32,128,0.2,16,0.0001,0.00025828,25
33,64,0.2,32,0.0001,0.00026629,49
34,32,0.1,32,0.0005,0.00028683,25
35,32,0.3,16,0.0005,0.00031581,18
36,32,0.1,16,0.0001,0.00034649,11
37,64,0.3,16,0.0005,0.00038274,15
38,64,0.3,32,0.001,0.00040578,16
39,64,0.2,16,0.0005,0.00051492,18
40,64,0.2,32,0.0005,0.00054731,17
41,64,0.3,16,0.0001,0.00056645,34
42,64,0.1,16,0.0001,0.00056808,11
43,32,0.2,32,0.0001,0.00059942,11
44,32,0.1,32,0.001,0.00062439,18
45,128,0.1,16,0.0001,0.00062897,11
46,128,0.3,32,0.0005,0.00065966,30
47,64,0.1,32,0.0001,0.00067888,37
48,64,0.1,32,0.0005,0.00080468,16
49,64,0.1,32,0.001,0.00081169,18
50,32,0.2,16,0.0005,0.00083045,16
51,128,0.2,32,0.0001,0.0008638,31
52,128,0.1,32,0.0001,0.00093373,27
53,128,0.1,32,0.0005,0.00104304,13
54,32,0.3,16,0.0001,0.00171568,11
