,units,dropout,batch_size,learning_rate,val_loss,epochs_stopped
1,128,0.1,32,0.0005,2.096e-05,67
2,128,0.3,16,0.001,3.751e-05,25
3,128,0.2,32,0.001,4.476e-05,38
4,64,0.3,32,0.001,5.18e-05,61
5,64,0.1,16,0.001,5.902e-05,28
6,64,0.2,16,0.0005,6.017e-05,42
7,64,0.3,16,0.001,6.437e-05,39
8,32,0.2,16,0.0005,6.453e-05,71
9,128,0.3,32,0.0005,8.076e-05,52
10,64,0.2,16,0.001,8.129e-05,41
11,64,0.1,16,0.0001,9.332e-05,81
12,128,0.2,32,0.0005,9.905e-05,31
13,128,0.3,32,0.001,0.00010287,28
14,64,0.3,16,0.0005,0.00010294,62
15,128,0.1,32,0.001,0.00010675,48
16,32,0.2,16,0.001,0.00011766,59
17,32,0.3,16,0.001,0.00011779,42
18,32,0.3,16,0.0001,0.00011949,11
19,128,0.1,16,0.001,0.00015075,29
20,128,0.2,16,0.001,0.00015881,24
21,32,0.2,32,0.001,0.00016388,67
22,64,0.1,32,0.0001,0.00017416,12
23,32,0.2,32,0.0005,0.00017522,33
24,32,0.3,32,0.0001,0.00019804,16
25,32,0.3,32,0.0005,0.0002156,23
26,64,0.3,16,0.0001,0.00022569,35
27,32,0.1,16,0.001,0.00022824,35
28,64,0.2,32,0.0005,0.00024136,19
29,64,0.1,32,0.001,0.00025643,21
30,32,0.1,32,0.0001,0.00026175,13
31,64,0.1,32,0.0005,0.00030988,20
32,128,0.3,16,0.0005,0.00032151,29
33,128,0.2,16,0.0005,0.00034964,12
34,32,0.3,16,0.0005,0.00035886,18
35,128,0.2,16,0.0001,0.00036079,30
36,64,0.2,32,0.001,0.00039492,18
37,64,0.3,32,0.0005,0.00043109,19
38,32,0.1,32,0.001,0.0004595,15
39,128,0.3,32,0.0001,0.00047743,44
40,128,0.1,16,0.0005,0.00049805,19
41,32,0.2,16,0.0001,0.00053454,47
42,128,0.1,32,0.0001,0.00057404,22
43,64,0.3,32,0.0001,0.00059959,11
44,64,0.2,16,0.0001,0.00060227,31
45,128,0.3,16,0.0001,0.00068154,23
46,64,0.1,16,0.0005,0.00074535,14
47,128,0.1,16,0.0001,0.00085626,21
48,32,0.2,32,0.0001,0.00090293,11
49,32,0.1,32,0.0005,0.00093296,25
50,32,0.1,16,0.0001,0.00094112,13
51,64,0.2,32,0.0001,0.00100322,48
52,32,0.1,16,0.0005,0.00111065,19
53,32,0.3,32,0.001,0.00112585,14
54,128,0.2,32,0.0001,0.00120285,30
